medal_type,name,gender,country_code,nationality,discipline,birth_date,is_medallist
Gold ,GU Bongil,Male,KOR,Korea,Fencing,1989-04-27,True
Gold ,OH Sanguk,Male,KOR,Korea,Fencing,1996-09-30,True
Gold ,PARK Sangwon,Male,KOR,Korea,Fencing,2000-09-14,True
Gold ,DO Gyeongdong,Male,KOR,Korea,Fencing,1999-08-19,True
Silver ,GEMESI Csanad,Male,HUN,Hungary,Fencing,1986-11-13,True
Silver ,SZILAGYI Aron,Male,HUN,Hungary,Fencing,1990-01-14,True
Silver ,SZATMARI Andras,Male,HUN,Hungary,Fencing,1993-02-03,True
Silver ,RABB Krisztian,Male,HUN,Hungary,Fencing,2001-11-10,True
Bronze ,APITHY Bolade,Male,FRA,France,Fencing,1985-08-21,True
Bronze ,PIANFETTI Maxime,Male,FRA,France,Fencing,1999-03-15,True
Bronze ,PATRICE Sebastien,Male,FRA,France,Fencing,2000-04-07,True
Bronze ,PATRICE Jean-Philippe,Male,FRA,France,Fencing,1997-03-12,True
Gold ,van LIEROP Lennart,Male,NED,Netherlands,Rowing,1994-05-20,True
Gold ,FLORIJN Finn,Male,NED,Netherlands,Rowing,1999-11-29,True
Gold ,WIETEN Tone,Male,NED,Netherlands,Rowing,1994-03-17,True
Gold ,METSEMAKERS Koen,Male,NED,Netherlands,Rowing,1992-04-30,True
Silver ,CHIUMENTO Luca,Male,ITA,Italy,Rowing,1997-11-19,True
Silver ,RAMBALDI Luca,Male,ITA,Italy,Rowing,1994-12-09,True
Silver ,PANIZZA Andrea,Male,ITA,Italy,Rowing,1998-07-14,True
Silver ,GENTILI Giacomo,Male,ITA,Italy,Rowing,1997-07-03,True
Bronze ,CZAJA Dominik,Male,POL,Poland,Rowing,1995-08-12,True
Bronze ,BISKUP Mateusz,Male,POL,Poland,Rowing,1994-02-08,True
Bronze ,ZIETARSKI Miroslaw,Male,POL,Poland,Rowing,1993-03-09,True
Bronze ,BARANSKI Fabian,Male,POL,Poland,Rowing,1999-05-27,True
Gold ,HENRY Lauren,Female,GBR,Great Britain,Rowing,2001-12-21,True
Gold ,SCOTT Hannah,Female,GBR,Great Britain,Rowing,1999-06-18,True
Gold ,ANDERSON Lola,Female,GBR,Great Britain,Rowing,1998-04-16,True
Gold ,BRAYSHAW Georgina,Female,GBR,Great Britain,Rowing,1993-10-14,True
Silver ,YOUSSIFOU Laila,Female,NED,Netherlands,Rowing,1996-01-02,True
Silver ,PAULIS Bente,Female,NED,Netherlands,Rowing,1997-02-14,True
Silver ,de JONG Roos,Female,NED,Netherlands,Rowing,1993-08-23,True
Silver ,DULLEMANS Tessa,Female,NED,Netherlands,Rowing,1997-07-02,True
Bronze ,VOELZ Maren,Female,GER,Germany,Rowing,1999-11-20,True
Bronze ,SCHENDEKEHL Tabea,Female,GER,Germany,Rowing,1998-11-29,True
Bronze ,MENZEL Leonie,Female,GER,Germany,Rowing,1999-05-19,True
Bronze ,GREITEN Pia,Female,GER,Germany,Rowing,1997-02-18,True
Gold ,SCRUGGS Lauren,Female,USA,United States,Fencing,2003-01-27,True
Gold ,KIEFER Lee,Female,USA,United States,Fencing,1994-06-15,True
Gold ,DUBROVICH Jacqueline,Female,USA,United States,Fencing,1994-07-18,True
Gold ,WEINTRAUB Maia Mei,Female,USA,United States,Fencing,2002-10-24,True
Silver ,ERRIGO Arianna,Female,ITA,Italy,Fencing,1988-06-06,True
Silver ,FAVARETTO Martina,Female,ITA,Italy,Fencing,2001-11-15,True
Silver ,VOLPI Alice,Female,ITA,Italy,Fencing,1992-04-15,True
Silver ,PALUMBO Francesca,Female,ITA,Italy,Fencing,1994-02-10,True
Bronze ,AZUMA Sera,Female,JPN,Japan,Fencing,1999-08-20,True
Bronze ,UENO Yuka,Female,JPN,Japan,Fencing,2001-11-28,True
Bronze ,MIYAWAKI Karin,Female,JPN,Japan,Fencing,1997-02-04,True
Bronze ,KIKUCHI Komaki,Female,JPN,Japan,Fencing,1997-02-22,True
Gold ,CORNEA Andrei Sebastian,Male,ROU,Romania,Rowing,1999-11-10,True
Gold ,ENACHE Marian Florian,Male,ROU,Romania,Rowing,1995-08-05,True
Silver ,TWELLAAR Melvin,Male,NED,Netherlands,Rowing,1996-12-23,True
Silver ,BROENINK Stef,Male,NED,Netherlands,Rowing,1990-09-19,True
Bronze ,LYNCH Daire,Male,IRL,Ireland,Rowing,1998-06-19,True
Bronze ,DOYLE Phili,Male,IRL,Ireland,Rowing,1992-09-17,True
Gold ,MEAD Nick,Male,USA,United States,Rowing,1995-03-12,True
Gold ,BEST Justin,Male,USA,United States,Rowing,1997-08-17,True
Gold ,GRADY Michael,Male,USA,United States,Rowing,1996-10-22,True
Gold ,CORRIGAN Liam,Male,USA,United States,Rowing,1997-09-11,True
Silver ,MACLEAN Ollie,Male,NZL,New Zealand,Rowing,1998-05-19,True
Silver ,ULLRICH Logan,Male,NZL,New Zealand,Rowing,2000-08-20,True
Silver ,MURRAY Tom,Male,NZL,New Zealand,Rowing,1994-04-05,True
Silver ,MACDONALD Matt,Male,NZL,New Zealand,Rowing,1999-03-15,True
Bronze ,WILKES Oliver,Male,GBR,Great Britain,Rowing,1995-07-14,True
Bronze ,AMBLER David,Male,GBR,Great Britain,Rowing,1997-12-04,True
Bronze ,ALDRIDGE Matt,Male,GBR,Great Britain,Rowing,1996-03-11,True
Bronze ,DAVIDSON Freddie,Male,GBR,Great Britain,Rowing,1998-05-26,True
Gold ,FRANCIS Brooke,Female,NZL,New Zealand,Rowing,1995-01-06,True
Gold ,SPOORS Lucy,Female,NZL,New Zealand,Rowing,1990-12-24,True
Silver ,BODNAR Ancuta,Female,ROU,Romania,Rowing,1998-09-25,True
Silver ,RADIS Simona,Female,ROU,Romania,Rowing,1999-04-05,True
Bronze ,HODGKINS BYRNE Mathilda,Female,GBR,Great Britain,Rowing,1994-10-01,True
Bronze ,WILDE Rebecca,Female,GBR,Great Britain,Rowing,1997-12-31,True
Gold ,OLDENBURG Marloes,Female,NED,Netherlands,Rowing,1988-03-09,True
Gold ,DRENTH Hermijntje,Female,NED,Netherlands,Rowing,1994-07-19,True
Gold ,OFFEREINS Tinka,Female,NED,Netherlands,Rowing,1993-10-05,True
Gold ,BOONSTRA Benthe,Female,NED,Netherlands,Rowing,2000-11-21,True
Silver ,GLOVER Helen,Female,GBR,Great Britain,Rowing,1986-06-17,True
Silver ,BOOTH Esme,Female,GBR,Great Britain,Rowing,1998-12-23,True
Silver ,REDGRAVE Sam,Female,GBR,Great Britain,Rowing,1994-08-18,True
Silver ,SHORTEN Rebecca,Female,GBR,Great Britain,Rowing,1993-11-25,True
Bronze ,GOWLER Jackie,Female,NZL,New Zealand,Rowing,1996-06-07,True
Bronze ,SPOORS Phoebe,Female,NZL,New Zealand,Rowing,1993-08-11,True
Bronze ,WADDY Davina,Female,NZL,New Zealand,Rowing,1996-08-16,True
Bronze ,WILLIAMS Kerri,Female,NZL,New Zealand,Rowing,1993-12-18,True
Gold ,PALLISTER Lani,Female,AUS,Australia,Swimming,2002-06-06,True
Gold ,PERKINS Jamie,Female,AUS,Australia,Swimming,2005-01-19,True
Gold ,THROSSELL Brianna,Female,AUS,Australia,Swimming,1996-02-10,True
Gold ,JACK Shayna,Female,AUS,Australia,Swimming,1998-11-06,True
Gold ,O'CALLAGHAN Mollie,Female,AUS,Australia,Swimming,2004-04-02,True
Gold ,TITMUS Ariarne,Female,AUS,Australia,Swimming,2000-09-07,True
Silver ,PEPLOWSKI Anna,Female,USA,United States,Swimming,2002-09-25,True
Silver ,GEMMELL Erin,Female,USA,United States,Swimming,2004-12-02,True
Silver ,MANUEL Simone,Female,USA,United States,Swimming,1996-08-02,True
Silver ,SHACKELL Alex,Female,USA,United States,Swimming,2006-11-13,True
Silver ,LEDECKY Katie,Female,USA,United States,Swimming,1997-03-17,True
Silver ,MADDEN Paige,Female,USA,United States,Swimming,1998-10-22,True
Silver ,WEINSTEIN Claire,Female,USA,United States,Swimming,2007-03-01,True
Bronze ,TANG Muhan,Female,CHN,China,Swimming,2003-09-04,True
Bronze ,KONG Yaqi,Female,CHN,China,Swimming,2008-01-24,True
Bronze ,GE Chutong,Female,CHN,China,Swimming,2003-09-23,True
Bronze ,LIU Yaxin,Female,CHN,China,Swimming,1999-06-16,True
Bronze ,LI Bingjie,Female,CHN,China,Swimming,2002-03-03,True
Bronze ,YANG Junxuan,Female,CHN,China,Swimming,2002-01-26,True
Gold ,LIM Sihyeon,Female,KOR,Korea,Archery,2003-06-13,True
Gold ,KIM Woojin,Male,KOR,Korea,Archery,1992-06-20,True
Silver ,KROPPEN Michelle,Female,GER,Germany,Archery,1996-04-19,True
Silver ,UNRUH Florian,Male,GER,Germany,Archery,1993-06-07,True
Bronze ,KAUFHOLD Casey,Female,USA,United States,Archery,2004-03-06,True
Bronze ,ELLISON Brady,Male,USA,United States,Archery,1988-10-27,True
Gold ,ZHENG Si Wei,Male,CHN,China,Badminton,1997-02-26,True
Gold ,HUANG Ya Qiong,Female,CHN,China,Badminton,1994-02-28,True
Silver ,KIM Won Ho,Male,KOR,Korea,Badminton,1999-06-02,True
Silver ,JEONG Na Eun,Female,KOR,Korea,Badminton,2000-06-27,True
Bronze ,WATANABE Yuta,Male,JPN,Japan,Badminton,1997-06-13,True
Bronze ,HIGASHINO Arisa,Female,JPN,Japan,Badminton,1996-08-01,True
Gold ,LONG Daoyi,Male,CHN,China,Diving,2003-03-06,True
Gold ,WANG Zongyuan,Male,CHN,China,Diving,2001-10-24,True
Silver ,CELAYA HERNANDEZ Juan Manuel,Male,MEX,Mexico,Diving,1998-09-01,True
Silver ,OLVERA IBARRA Osmar,Male,MEX,Mexico,Diving,2004-06-05,True
Bronze ,HARDING Anthony,Male,GBR,Great Britain,Diving,2000-06-30,True
Bronze ,LAUGHER Jack,Male,GBR,Great Britain,Diving,1995-01-30,True
Gold ,BRASH Scott,Male,GBR,Great Britain,Equestrian,1985-11-23,True
Gold ,CHARLES Harry,Male,GBR,Great Britain,Equestrian,1999-07-15,True
Gold ,MAHER Ben,Male,GBR,Great Britain,Equestrian,1983-01-30,True
Gold ,STOCKDALE Joseph,Male,GBR,Great Britain,Equestrian,1999-10-18,False
Silver ,WARD McLain,Male,USA,United States,Equestrian,1975-10-17,True
Silver ,FARRINGTON Kent,Male,USA,United States,Equestrian,1980-12-28,False
Silver ,KRAUT Laura,Female,USA,United States,Equestrian,1965-11-14,True
Silver ,COOK Karl,Male,USA,United States,Equestrian,1990-12-25,True
Bronze ,STAUT Kevin,Male,FRA,France,Equestrian,1980-11-15,False
Bronze ,DELESTRE Simon,Male,FRA,France,Equestrian,1981-06-21,True
Bronze ,EPAILLARD Julien,Male,FRA,France,Equestrian,1977-07-24,True
Bronze ,PERREAU Olivier,Male,FRA,France,Equestrian,1986-06-23,True
Gold ,SIKLOSI Gergely,Male,HUN,Hungary,Fencing,1997-09-04,True
Gold ,KOCH Mate Tamas,Male,HUN,Hungary,Fencing,1999-09-17,True
Gold ,ANDRASFI Tibor,Male,HUN,Hungary,Fencing,1999-12-10,True
Gold ,NAGY David,Male,HUN,Hungary,Fencing,1999-07-14,True
Silver ,KANO Koki,Male,JPN,Japan,Fencing,1997-12-19,True
Silver ,MINOBE Kazuyasu,Male,JPN,Japan,Fencing,1987-07-15,True
Silver ,YAMADA Masaru,Male,JPN,Japan,Fencing,1994-06-14,True
Silver ,KOMATA Akira,Male,JPN,Japan,Fencing,1998-01-31,True
Bronze ,BERAN Jiri,Male,CZE,Czechia,Fencing,1982-01-18,True
Bronze ,JURKA Jakub,Male,CZE,Czechia,Fencing,1999-06-13,True
Bronze ,RUBES Martin,Male,CZE,Czechia,Fencing,1996-09-16,True
Bronze ,CUPR Michal,Male,CZE,Czechia,Fencing,1991-12-23,True
Gold ,Mc CARTHY Fintan,Male,IRL,Ireland,Rowing,1996-11-23,True
Gold ,O DONOVAN Paul,Male,IRL,Ireland,Rowing,1994-04-19,True
Silver ,OPPO Stefano,Male,ITA,Italy,Rowing,1994-09-12,True
Silver ,SOARES Gabriel,Male,ITA,Italy,Rowing,1997-01-22,True
Bronze ,PAPAKONSTANTINOU Antonios,Male,GRE,Greece,Rowing,1999-03-18,True
Bronze ,GKAIDATZIS Petros,Male,GRE,Greece,Rowing,2000-11-25,True
Gold ,CRAIG Emily,Female,GBR,Great Britain,Rowing,1992-11-30,True
Gold ,GRANT Imogen,Female,GBR,Great Britain,Rowing,1996-02-26,True
Silver ,van GRONINGEN Gianina Elena,Female,ROU,Romania,Rowing,1995-05-21,True
Silver ,COZMIUC Ionela Livia,Female,ROU,Romania,Rowing,1995-01-03,True
Bronze ,KONTOU Dimitra,Female,GRE,Greece,Rowing,2005-09-23,True
Bronze ,FITSIOU Zoi,Female,GRE,Greece,Rowing,1995-09-14,True
Gold ,SINKOVIC Martin,Male,CRO,Croatia,Rowing,1989-11-10,True
Gold ,SINKOVIC Valent,Male,CRO,Croatia,Rowing,1988-08-02,True
Silver ,WYNNE-GRIFFITH Oliver,Male,GBR,Great Britain,Rowing,1994-05-29,True
Silver ,GEORGE Tom,Male,GBR,Great Britain,Rowing,1994-09-22,True
Bronze ,ROEOESLI Roman,Male,SUI,Switzerland,Rowing,1993-09-22,True
Bronze ,GULICH Andrin,Male,SUI,Switzerland,Rowing,1999-03-09,True
Gold ,CLEVERING Ymkje,Female,NED,Netherlands,Rowing,1995-07-17,True
Gold ,MEESTER Veronique,Female,NED,Netherlands,Rowing,1995-04-07,True
Silver ,VRINCEANU Ioana,Female,ROU,Romania,Rowing,1994-03-07,True
Silver ,ANGHEL Roxana,Female,ROU,Romania,Rowing,1998-01-01,True
Bronze ,MORRISON Jess,Female,AUS,Australia,Rowing,1992-05-18,True
Bronze ,McINTYRE Annabelle,Female,AUS,Australia,Rowing,1996-09-12,True
Gold ,BOTIN le CHEVER Diego,Male,ESP,Spain,Sailing,1993-12-25,True
Gold ,TRITTEL PAUL Florian,Male,ESP,Spain,Sailing,1994-05-23,True
Silver ,McHARDIE Isaac,Male,NZL,New Zealand,Sailing,1997-07-06,True
Silver ,McKENZIE William,Male,NZL,New Zealand,Sailing,1997-02-19,True
Bronze ,BARROWS Ian,Male,USA,United States,Sailing,1995-01-14,True
Bronze ,HENKEN Hans,Male,USA,United States,Sailing,1992-06-04,True
Gold ,van AANHOLT Odile,Female,NED,Netherlands,Sailing,1998-01-14,True
Gold ,DUETZ Annette,Female,NED,Netherlands,Sailing,1993-06-29,True
Silver ,BOBECK Vilma,Female,SWE,Sweden,Sailing,1998-01-05,True
Silver ,NETZLER Rebecca,Female,SWE,Sweden,Sailing,1995-07-22,True
Bronze ,STEYAERT Sarah,Female,FRA,France,Sailing,1986-11-27,True
Bronze ,PICON Charline,Female,FRA,France,Sailing,1984-12-23,True
Gold ,SINIAKOVA Katerina,Female,CZE,Czechia,Tennis,1996-05-10,True
Gold ,MACHAC Tomas,Male,CZE,Czechia,Tennis,2000-10-13,True
Silver ,WANG Xinyu,Female,CHN,China,Tennis,2001-09-26,True
Silver ,ZHANG Zhizhen,Male,CHN,China,Tennis,1996-10-16,True
Bronze ,DABROWSKI Gabriela,Female,CAN,Canada,Tennis,1992-04-01,True
Bronze ,AUGER-ALIASSIME Felix,Male,CAN,Canada,Tennis,2000-08-08,True
Gold ,KLEIN IKKINK Isaya,Male,NED,Netherlands,Athletics,2003-05-13,True
Gold ,OMALLA Eugene,Male,NED,Netherlands,Athletics,2000-10-05,True
Gold ,BOL Femke,Female,NED,Netherlands,Athletics,2000-02-23,True
Gold ,KLAVER Lieke,Female,NED,Netherlands,Athletics,1998-08-20,True
Gold ,PEETERS Cathelijn,Female,NED,Netherlands,Athletics,1996-11-06,True
Gold ,BOERS Isayah,Male,NED,Netherlands,Athletics,1999-06-19,False
Silver ,DEADMON Bryce,Male,USA,United States,Athletics,1997-03-26,True
Silver ,NORWOOD Vernon,Male,USA,United States,Athletics,1992-04-10,True
Silver ,WILSON Quincy,Male,USA,United States,Athletics,2008-01-08,False
Silver ,BROWN Kaylyn,Female,USA,United States,Athletics,2004-12-31,True
Silver ,LITTLE Shamier,Female,USA,United States,Athletics,1995-03-20,True
Silver ,WHITTAKER Isabella,Female,USA,United States,Athletics,2002-02-15,False
Bronze ,DAVEY Lewis,Male,GBR,Great Britain,Athletics,2000-10-24,False
Bronze ,HAYDOCK-WILSON Alex,Male,GBR,Great Britain,Athletics,1999-07-28,True
Bronze ,JEFFERIES Ben,Male,GBR,Great Britain,Athletics,1999-09-10,False
Bronze ,REARDON Samuel,Male,GBR,Great Britain,Athletics,2003-10-30,True
Bronze ,ANNING Amber,Female,GBR,Great Britain,Athletics,2000-11-18,True
Bronze ,KELLY Hannah,Female,GBR,Great Britain,Athletics,2000-12-20,False
Bronze ,NIELSEN Laviai,Female,GBR,Great Britain,Athletics,1996-03-13,True
Bronze ,WILLIAMS Jodie,Female,GBR,Great Britain,Athletics,1993-09-28,False
Bronze ,YEARGIN Nicole,Female,GBR,Great Britain,Athletics,1997-08-11,True
Gold ,CHEN Qing Chen,Female,CHN,China,Badminton,1997-06-23,True
Gold ,JIA Yi Fan,Female,CHN,China,Badminton,1997-06-29,True
Silver ,LIU Sheng Shu,Female,CHN,China,Badminton,2004-04-08,True
Silver ,TAN Ning,Female,CHN,China,Badminton,2003-04-03,True
Bronze ,MATSUYAMA Nami,Female,JPN,Japan,Badminton,1998-06-28,True
Bronze ,SHIDA Chiharu,Female,JPN,Japan,Badminton,1997-04-29,True
Gold ,von BREDOW-WERNDL Jessica,Female,GER,Germany,Equestrian,1986-02-16,True
Gold ,WANDRES Frederic,Male,GER,Germany,Equestrian,1987-03-25,True
Gold ,WERTH Isabell,Female,GER,Germany,Equestrian,1969-07-21,True
Gold ,ROTHENBERGER Soenke,Male,GER,Germany,Equestrian,1994-10-14,False
Silver ,BACHMANN ANDERSEN Daniel,Male,DEN,Denmark,Equestrian,1990-06-01,True
Silver ,LAUDRUP-DUFOUR Cathrine,Female,DEN,Denmark,Equestrian,1992-01-02,True
Silver ,SKODBORG MERRALD Nanna,Female,DEN,Denmark,Equestrian,1993-10-08,True
Silver ,SLOTH Nadja Aaboe,Female,DEN,Denmark,Equestrian,1992-10-23,False
Bronze ,FRY Charlotte,Female,GBR,Great Britain,Equestrian,1996-02-11,True
Bronze ,HESTER Carl,Male,GBR,Great Britain,Equestrian,1967-06-29,True
Bronze ,MOODY Becky,Female,GBR,Great Britain,Equestrian,1980-03-16,True
Bronze ,GOULD Andrew,Male,GBR,Great Britain,Equestrian,1980-05-21,False
Gold ,KHARLAN Olga,Female,UKR,Ukraine,Fencing,1990-09-04,True
Gold ,KOMASHCHUK Alina,Female,UKR,Ukraine,Fencing,1993-04-24,True
Gold ,KRAVATSKA Olena,Female,UKR,Ukraine,Fencing,1992-06-22,True
Gold ,BAKASTOVA Yuliia,Female,UKR,Ukraine,Fencing,1996-06-26,True
Silver ,YOON Jisu,Female,KOR,Korea,Fencing,1993-01-24,True
Silver ,JEON Hayoung,Female,KOR,Korea,Fencing,2001-08-18,True
Silver ,CHOI Sebin,Female,KOR,Korea,Fencing,2000-08-11,True
Silver ,JEON Eunhye,Female,KOR,Korea,Fencing,1997-08-01,True
Bronze ,EMURA Misaki,Female,JPN,Japan,Fencing,1998-11-20,True
Bronze ,TAKASHIMA Risa,Female,JPN,Japan,Fencing,1999-02-08,True
Bronze ,FUKUSHIMA Shihomi,Female,JPN,Japan,Fencing,1995-06-19,True
Bronze ,OZAKI Seri,Female,JPN,Japan,Fencing,2002-09-22,True
Gold ,BOUKLI Shirine,Female,FRA,France,Judo,1999-01-24,True
Gold ,BUCHARD Amandine,Female,FRA,France,Judo,1995-07-12,True
Gold ,CYSIQUE Sarah Leonie,Female,FRA,France,Judo,1998-07-06,True
Gold ,AGBEGNENOU Clarisse,Female,FRA,France,Judo,1992-10-25,True
Gold ,GAHIE Marie Eve,Female,FRA,France,Judo,1996-11-27,True
Gold ,DICKO Romane,Female,FRA,France,Judo,1999-09-30,True
Gold ,MALONGA Madeleine,Female,FRA,France,Judo,1993-12-25,True
Gold ,GABA Joan-Benjamin,Male,FRA,France,Judo,2001-01-07,True
Gold ,KHYAR Walide,Male,FRA,France,Judo,1995-06-09,True
Gold ,MKHEIDZE Luka,Male,FRA,France,Judo,1996-01-05,True
Gold ,DJALO Alpha Oumar,Male,FRA,France,Judo,1996-09-05,True
Gold ,NGAYAP HAMBOU Maxime-Gael,Male,FRA,France,Judo,2001-06-22,True
Gold ,DIESSE Aurelien,Male,FRA,France,Judo,1997-10-16,True
Gold ,RINER Teddy,Male,FRA,France,Judo,1989-04-07,True
Silver ,ABE Uta,Female,JPN,Japan,Judo,2000-07-14,True
Silver ,FUNAKUBO Haruka,Female,JPN,Japan,Judo,1998-10-10,True
Silver ,TSUNODA Natsumi,Female,JPN,Japan,Judo,1992-08-06,True
Silver ,NIIZOE Saki,Female,JPN,Japan,Judo,1996-07-04,True
Silver ,TAKAICHI Miku,Female,JPN,Japan,Judo,1994-04-07,True
Silver ,SONE Akira,Female,JPN,Japan,Judo,2000-07-09,True
Silver ,TAKAYAMA Rika,Female,JPN,Japan,Judo,1994-08-27,True
Silver ,ABE Hifumi,Male,JPN,Japan,Judo,1997-08-09,True
Silver ,HASHIMOTO Soichi,Male,JPN,Japan,Judo,1991-08-24,True
Silver ,NAGAYAMA Ryuju,Male,JPN,Japan,Judo,1996-04-15,True
Silver ,MURAO Sanshiro,Male,JPN,Japan,Judo,2000-08-28,True
Silver ,NAGASE Takanori,Male,JPN,Japan,Judo,1993-10-14,True
Silver ,SAITO Tatsuru,Male,JPN,Japan,Judo,2002-03-08,True
Silver ,WOLF Aaron,Male,JPN,Japan,Judo,1996-02-25,True
Bronze ,PIMENTA Larissa,Female,BRA,Brazil,Judo,1999-03-01,True
Bronze ,SILVA Rafaela,Female,BRA,Brazil,Judo,1992-04-24,True
Bronze ,QUADROS Ketleyn,Female,BRA,Brazil,Judo,1987-10-01,True
Bronze ,SOUZA Beatriz,Female,BRA,Brazil,Judo,1998-05-20,True
Bronze ,CARGNIN Daniel,Male,BRA,Brazil,Judo,1997-12-20,True
Bronze ,LIMA Willian,Male,BRA,Brazil,Judo,2000-01-31,True
Bronze ,MACEDO Rafael,Male,BRA,Brazil,Judo,1994-08-15,True
Bronze ,SCHIMIDT Guilherme,Male,BRA,Brazil,Judo,2000-11-06,True
Bronze ,GONCALVES Leonardo,Male,BRA,Brazil,Judo,1996-03-01,True
Bronze ,SILVA Rafael,Male,BRA,Brazil,Judo,1987-05-11,True
Bronze ,HUH Mimi,Female,KOR,Korea,Judo,2002-12-19,True
Bronze ,JUNG Yerin,Female,KOR,Korea,Judo,1996-07-15,True
Bronze ,LEE Hyekyeong,Female,KOR,Korea,Judo,1996-01-12,True
Bronze ,KIM Jisu,Female,KOR,Korea,Judo,2000-12-12,True
Bronze ,KIM Hayun,Female,KOR,Korea,Judo,2000-01-07,True
Bronze ,YOON Hyunji,Female,KOR,Korea,Judo,1994-02-14,True
Bronze ,AN Baul,Male,KOR,Korea,Judo,1994-03-25,True
Bronze ,KIM Won Jin,Male,KOR,Korea,Judo,1992-05-01,True
Bronze ,HAN Juyeo,Male,KOR,Korea,Judo,1999-04-21,True
Bronze ,LEE Joonhwan,Male,KOR,Korea,Judo,2002-06-19,True
Bronze ,KIM Minjong,Male,KOR,Korea,Judo,2000-09-01,True
Gold ,CARNEGIE Sholto,Male,GBR,Great Britain,Rowing,1995-02-28,True
Gold ,GIBBS Rory,Male,GBR,Great Britain,Rowing,1994-04-03,True
Gold ,BOLDING Morgan,Male,GBR,Great Britain,Rowing,1995-05-13,True
Gold ,DAWSON Jacob,Male,GBR,Great Britain,Rowing,1993-11-02,True
Gold ,ELWES Charles,Male,GBR,Great Britain,Rowing,1997-07-15,True
Gold ,DIGBY Tom,Male,GBR,Great Britain,Rowing,1998-07-23,True
Gold ,RUDKIN James,Male,GBR,Great Britain,Rowing,1994-07-07,True
Gold ,FORD Tom,Male,GBR,Great Britain,Rowing,1992-10-03,True
Gold ,BRIGHTMORE Harry,Male,GBR,Great Britain,Rowing,1994-07-01,True
Silver ,RIENKS Ralf,Male,NED,Netherlands,Rowing,1997-09-23,True
Silver ,MOLENAAR Olav,Male,NED,Netherlands,Rowing,1999-03-28,True
Silver ,de GRAAF Sander,Male,NED,Netherlands,Rowing,1995-06-13,True
Silver ,KNAB Ruben,Male,NED,Netherlands,Rowing,1988-02-19,True
Silver ,van DOORN Gert-Jan,Male,NED,Netherlands,Rowing,1999-02-03,True
Silver ,van de KERKHOF Jacob,Male,NED,Netherlands,Rowing,1995-10-12,True
Silver ,van der BIJ Jan,Male,NED,Netherlands,Rowing,1991-09-25,True
Silver ,MAKKER Mick,Male,NED,Netherlands,Rowing,1993-02-05,True
Silver ,FETTER Dieuwke,Female,NED,Netherlands,Rowing,1991-01-26,True
Bronze ,HOLLINGSWORTH Henry,Male,USA,United States,Rowing,1997-09-05,True
Bronze ,RUSHER Nick,Male,USA,United States,Rowing,1999-06-10,True
Bronze ,TABASH Christian,Male,USA,United States,Rowing,1999-05-14,True
Bronze ,DEAN Clark,Male,USA,United States,Rowing,2000-02-03,True
Bronze ,CARLSON Chris,Male,USA,United States,Rowing,1997-03-14,True
Bronze ,CHATAIN Peter,Male,USA,United States,Rowing,1999-11-08,True
Bronze ,OLSON Evan,Male,USA,United States,Rowing,1997-07-26,True
Bronze ,QUINTON Pieter,Male,USA,United States,Rowing,1998-02-11,True
Bronze ,MILNE Rielly,Male,USA,United States,Rowing,1996-05-31,True
Gold ,RUSU Maria Magdalena,Female,ROU,Romania,Rowing,1999-09-30,True
Gold ,ANGHEL Roxana,Female,ROU,Romania,Rowing,1998-01-01,True
Gold ,BODNAR Ancuta,Female,ROU,Romania,Rowing,1998-09-25,True
Gold ,LEHACI Maria,Female,ROU,Romania,Rowing,1999-06-28,True
Gold ,ADAM Adriana,Female,ROU,Romania,Rowing,1999-04-11,True
Gold ,BERES Amalia,Female,ROU,Romania,Rowing,1997-06-18,True
Gold ,VRINCEANU Ioana,Female,ROU,Romania,Rowing,1994-03-07,True
Gold ,RADIS Simona,Female,ROU,Romania,Rowing,1999-04-05,True
Gold ,PETREANU Victoria Stefania,Female,ROU,Romania,Rowing,2003-01-21,True
Silver ,SEVICK Jessica,Female,CAN,Canada,Rowing,1989-07-15,True
Silver ,FILMER Caileigh,Female,CAN,Canada,Rowing,1996-12-18,True
Silver ,MESCHKULEIT Maya,Female,CAN,Canada,Rowing,2001-07-28,True
Silver ,GRUCHALLA-WESIERSKI Kasia,Female,CAN,Canada,Rowing,1991-03-31,True
Silver ,WASTENEYS Avalon,Female,CAN,Canada,Rowing,1997-08-31,True
Silver ,PAYNE Sydney,Female,CAN,Canada,Rowing,1997-09-16,True
Silver ,WALKER Kristina,Female,CAN,Canada,Rowing,1996-05-09,True
Silver ,DENT Abby,Female,CAN,Canada,Rowing,2002-03-04,True
Silver ,KIT Kristen,Female,CAN,Canada,Rowing,1988-08-18,True
Bronze ,LONG Heidi,Female,GBR,Great Britain,Rowing,1996-11-29,True
Bronze ,McKELLAR Rowan,Female,GBR,Great Britain,Rowing,1994-05-24,True
Bronze ,DUNFORD Holly,Female,GBR,Great Britain,Rowing,1999-10-14,True
Bronze ,FORD Emily,Female,GBR,Great Britain,Rowing,1994-11-08,True
Bronze ,IRWIN Lauren,Female,GBR,Great Britain,Rowing,1998-08-20,True
Bronze ,STEWART Eve,Female,GBR,Great Britain,Rowing,1998-01-13,True
Bronze ,TAYLOR Harriet,Female,GBR,Great Britain,Rowing,1994-02-14,True
Bronze ,CAMPBELL-ORDE Annie,Female,GBR,Great Britain,Rowing,1995-10-05,True
